Dataset,Familia,Modelo,Tamaño,Semilla,Serializacion,Estrategia,Shots,Tiempo carga (s),Tiempo seleccion (s),Tiempo inferencia (s),Accuracy,Precision,Recall,F1-score,Muestras,Invalidas
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,Text,Few-shot,2,19.5,0.0021,0.7853,0.6889,0.5098,0.8966,0.65,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,Text,Few-shot,2,19.5,0.0015,0.8035,0.7444,0.5833,0.7241,0.6462,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,Text,Few-shot,4,19.5,0.0016,0.8717,0.7111,0.5517,0.5517,0.5517,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,Text,Few-shot,4,19.5,0.0021,0.9324,0.7333,0.5641,0.7586,0.6471,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,Text,Few-shot,4,19.5,0.0017,0.9338,0.6778,0.5,0.8276,0.6234,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,Text,Few-shot,8,19.5,0.0022,1.2796,0.7556,0.5897,0.7931,0.6765,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,Text,Few-shot,8,19.5,0.0017,1.2639,0.7333,0.5641,0.7586,0.6471,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,Text,Few-shot,8,19.5,0.0023,1.2732,0.7333,0.5556,0.8621,0.6757,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,List,Zero-shot,0,74.13,0.0,4.2178,0.5889,0.4259,0.7931,0.5542,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,11235,List,Zero-shot,0,74.13,0.0,4.2168,0.6222,0.4545,0.8621,0.5952,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,16180,List,Zero-shot,0,74.13,0.0,4.217,0.5444,0.3889,0.7241,0.506,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,List,Few-shot,1,74.13,0.002,2.8064,0.7667,0.8333,0.3448,0.4878,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,11235,List,Few-shot,1,74.13,0.0021,2.8081,0.7222,0.5588,0.6552,0.6032,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,16180,List,Few-shot,1,74.13,0.002,2.8065,0.7222,0.5833,0.4828,0.5283,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,List,Few-shot,2,74.13,0.002,3.1502,0.8111,0.7,0.7241,0.7119,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,11235,List,Few-shot,2,74.13,0.0021,3.1508,0.7,0.5208,0.8621,0.6494,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,16180,List,Few-shot,2,74.13,0.002,3.1513,0.7222,0.5909,0.4483,0.5098,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,List,Few-shot,4,74.13,0.002,3.6746,0.7778,0.7647,0.4483,0.5652,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,11235,List,Few-shot,4,74.13,0.0021,3.6733,0.7778,0.6286,0.7586,0.6875,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,16180,List,Few-shot,4,74.13,0.0021,3.6743,0.7222,0.55,0.7586,0.6377,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,List,Few-shot,8,74.13,0.0022,4.9583,0.7778,0.68,0.5862,0.6296,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,11235,List,Few-shot,8,74.13,0.0021,4.9399,0.7889,0.6316,0.8276,0.7164,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,16180,List,Few-shot,8,74.13,0.0022,4.9436,0.7778,0.6154,0.8276,0.7059,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,Text,Zero-shot,0,74.13,0.0,4.2175,0.5889,0.4286,0.8276,0.5647,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,11235,Text,Zero-shot,0,74.13,0.0,4.2164,0.6111,0.4444,0.8276,0.5783,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,16180,Text,Zero-shot,0,74.13,0.0,4.2162,0.5556,0.3962,0.7241,0.5122,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,Text,Few-shot,1,74.13,0.0019,2.8074,0.7778,0.8462,0.3793,0.5238,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,11235,Text,Few-shot,1,74.13,0.0019,2.8089,0.7444,0.5882,0.6897,0.6349,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,16180,Text,Few-shot,1,74.13,0.0019,2.8078,0.7444,0.6364,0.4828,0.549,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,Text,Few-shot,2,74.13,0.0019,3.1514,0.7778,0.6364,0.7241,0.6774,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,11235,Text,Few-shot,2,74.13,0.0019,3.152,0.7111,0.5306,0.8966,0.6667,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,16180,Text,Few-shot,2,74.13,0.0019,3.1513,0.7444,0.6154,0.5517,0.5818,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,Text,Few-shot,4,74.13,0.0019,3.6753,0.8111,0.8,0.5517,0.6531,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,11235,Text,Few-shot,4,74.13,0.0019,3.6744,0.7556,0.6,0.7241,0.6562,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,16180,Text,Few-shot,4,74.13,0.002,3.6733,0.7222,0.5526,0.7241,0.6269,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,27182,Text,Few-shot,8,74.13,0.0021,4.9585,0.7778,0.68,0.5862,0.6296,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,11235,Text,Few-shot,8,74.13,0.002,4.9409,0.7667,0.6111,0.7586,0.6769,90,0
Heart,Qwen,Qwen/Qwen2.5-72B-Instruct,Large,16180,Text,Few-shot,8,74.13,0.002,4.9439,0.7667,0.6111,0.7586,0.6769,90,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,List,Zero-shot,0,4.12,0.0,0.4189,0.4571,0.0,0.0,0.0,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,List,Zero-shot,0,4.12,0.0,0.418,0.4571,0.0,0.0,0.0,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,List,Zero-shot,0,4.12,0.0,0.4178,0.4571,0.0,0.0,0.0,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,List,Few-shot,1,4.12,0.002,0.3598,0.6286,0.6875,0.5789,0.6286,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,List,Few-shot,1,4.12,0.0015,0.3593,0.5714,0.6,0.6316,0.6154,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,List,Few-shot,1,4.12,0.0015,0.3597,0.5429,0.5714,0.6316,0.6,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,List,Few-shot,2,4.12,0.0018,0.388,0.5429,0.5882,0.5263,0.5556,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,List,Few-shot,2,4.12,0.0014,0.3877,0.6,0.6316,0.6316,0.6316,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,List,Few-shot,2,4.12,0.0014,0.3876,0.4857,0.5263,0.5263,0.5263,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,27182,List,Few-shot,4,4.12,0.0015,0.4685,0.6286,0.65,0.6842,0.6667,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,11235,List,Few-shot,4,4.12,0.0018,0.4686,0.6,0.619,0.6842,0.65,35,0
Cancer,Qwen,Qwen/Qwen2.5-7B-Instruct,Small,16180,List,Few-shot,4,4.12,0.0015,0.4684,0.5714,0.5833,0.7368,0.6512,35,0
